strain,mean_b,swept_region,chr_geno
ECA347,259.75,I,divergent
ECA347,259.75,IV,divergent
ECA347,259.75,V,divergent
ECA347,259.75,X,divergent
ECA36,192.4,I,divergent
ECA36,192.4,IV,divergent
ECA36,192.4,V,divergent
ECA36,192.4,X,divergent
ECA724,220.6,I,divergent
ECA724,220.6,IV,divergent
ECA724,220.6,V,divergent
ECA724,220.6,X,divergent
ECA740,184.2,I,divergent
ECA740,184.2,IV,divergent
ECA740,184.2,V,divergent
ECA740,184.2,X,divergent
ECA741,253,I,divergent
ECA741,253,IV,divergent
ECA741,253,V,divergent
ECA741,253,X,divergent
ECA742,195,I,divergent
ECA742,195,IV,divergent
ECA742,195,V,divergent
ECA742,195,X,divergent
ECA396,158.8,I,divergent
ECA396,158.8,IV,divergent
ECA396,158.8,V,divergent
ECA396,158.8,X,divergent
ECA722,133.5,I,divergent
ECA722,133.5,IV,divergent
ECA722,133.5,V,divergent
ECA722,133.5,X,divergent
ECA723,226.6,I,divergent
ECA723,226.6,IV,divergent
ECA723,226.6,V,divergent
ECA723,226.6,X,divergent
ECA730,240.8,I,divergent
ECA730,240.8,IV,divergent
ECA730,240.8,V,divergent
ECA730,240.8,X,divergent
JU3226,190.5,I,divergent
JU3226,190.5,IV,divergent
JU3226,190.5,V,divergent
JU3226,190.5,X,divergent
XZ1514,210,I,divergent
XZ1514,210,IV,divergent
XZ1514,210,V,divergent
XZ1514,210,X,divergent
XZ1516,254.4,I,divergent
XZ1516,254.4,IV,divergent
XZ1516,254.4,V,divergent
XZ1516,254.4,X,divergent
ECA1202,191,I,divergent
ECA1202,191,IV,divergent
ECA1202,191,V,divergent
ECA1202,191,X,divergent
ECA1206,213.2,I,divergent
ECA1206,213.2,IV,divergent
ECA1206,213.2,V,divergent
ECA1206,213.2,X,divergent
ECA1211,197.4,I,divergent
ECA1211,197.4,IV,divergent
ECA1211,197.4,V,divergent
ECA1211,197.4,X,divergent
ECA1228,159.2,I,divergent
ECA1228,159.2,IV,divergent
ECA1228,159.2,V,divergent
ECA1228,159.2,X,divergent
ECA1269,184.4,I,divergent
ECA1269,184.4,IV,divergent
ECA1269,184.4,V,divergent
ECA1269,184.4,X,divergent
ECA1281,203.4,I,divergent
ECA1281,203.4,IV,divergent
ECA1281,203.4,V,divergent
ECA1281,203.4,X,divergent
ECA1287,195.8,I,divergent
ECA1287,195.8,IV,divergent
ECA1287,195.8,V,divergent
ECA1287,195.8,X,divergent
N2,307.75,I,swept
N2,307.75,IV,swept
N2,307.75,V,swept
N2,307.75,X,divergent
ECA2686,197.8,I,divergent
ECA2686,197.8,IV,divergent
ECA2686,197.8,V,divergent
ECA2686,197.8,X,divergent
ECA369,210,I,divergent
ECA369,210,IV,divergent
ECA369,210,V,divergent
ECA369,210,X,divergent
ECA712,281.75,I,divergent
ECA712,281.75,IV,divergent
ECA712,281.75,V,divergent
ECA712,281.75,X,divergent
ECA732,239.2,I,divergent
ECA732,239.2,IV,divergent
ECA732,239.2,V,divergent
ECA732,239.2,X,divergent
ECA733,241.25,I,divergent
ECA733,241.25,IV,divergent
ECA733,241.25,V,divergent
ECA733,241.25,X,divergent
ECA744,248.6,I,divergent
ECA744,248.6,IV,divergent
ECA744,248.6,V,divergent
ECA744,248.6,X,divergent
ECA746,201.4,I,divergent
ECA746,201.4,IV,divergent
ECA746,201.4,V,divergent
ECA746,201.4,X,divergent
ED3012,248.2,I,swept
ED3012,248.2,IV,swept
ED3012,248.2,V,swept
ED3012,248.2,X,swept
JU367,178.8,I,swept
JU367,178.8,IV,swept
JU367,178.8,V,swept
JU367,178.8,X,divergent
QX1791,235.2,I,divergent
QX1791,235.2,IV,divergent
QX1791,235.2,V,divergent
QX1791,235.2,X,divergent
CB4856,237,I,divergent
CB4856,237,IV,divergent
CB4856,237,V,divergent
CB4856,237,X,divergent
ECA593,212.6,I,divergent
ECA593,212.6,IV,divergent
ECA593,212.6,V,divergent
ECA593,212.6,X,divergent
ECA706,235,I,divergent
ECA706,235,IV,divergent
ECA706,235,V,divergent
ECA706,235,X,divergent
ECA760,177.8,I,divergent
ECA760,177.8,IV,divergent
ECA760,177.8,V,divergent
ECA760,177.8,X,divergent
ECA768,217.25,I,divergent
ECA768,217.25,IV,divergent
ECA768,217.25,V,divergent
ECA768,217.25,X,divergent
ECA778,169,I,divergent
ECA778,169,IV,divergent
ECA778,169,V,divergent
ECA778,169,X,divergent
ECA807,181.8,I,divergent
ECA807,181.8,IV,divergent
ECA807,181.8,V,divergent
ECA807,181.8,X,divergent
JU1200,254.4,I,swept
JU1200,254.4,IV,swept
JU1200,254.4,V,swept
JU1200,254.4,X,swept
NIC277,252.8,I,swept
NIC277,252.8,IV,swept
NIC277,252.8,V,swept
NIC277,252.8,X,divergent
XZ2019,237.2,I,divergent
XZ2019,237.2,IV,divergent
