strain,day,mean_b,genotype,age,intrinsic_growth_rate
NIC166,Day 2,133.8,swept,4,1.28158552545206
NIC166,Day 3,68.6,swept,5,1.09361202822703
NIC166,Day 4,8.6,swept,6,0.917284032712165
NIC166,Day 5,1.6,swept,7,0.787171103654791
NIC274,Day 1,10.2,swept,3,0.774129240096742
NIC274,Day 2,115.2,swept,4,1.20787715704971
NIC274,Day 3,94.4,swept,5,1.0785436083939
NIC274,Day 4,27.4,swept,6,0.918366287597256
NIC274,Day 5,0.4,swept,7,0.787402077258634
NIC276,Day 1,14,swept,3,0.87968577653842
NIC276,Day 2,110.4,swept,4,1.20587554507627
NIC276,Day 3,70.8,swept,5,1.0548049347958
NIC276,Day 4,12.8,swept,6,0.88958967995022
NIC276,Day 5,0.6,swept,7,0.762916934652382
RC301,Day 1,23,swept,3,1.04516473864305
RC301,Day 2,80,swept,4,1.15868224705741
RC301,Day 3,50,swept,5,1.00608758427849
RC301,Day 4,14,swept,6,0.852998968736126
RC301,Day 5,6.6,swept,7,0.73667911460375
JT11398,Day 1,55.2,swept,3,1.33698765109435
JT11398,Day 2,158.8,swept,4,1.34149400375546
JT11398,Day 3,65.6,swept,5,1.12667200207193
JT11398,Day 4,10,swept,6,0.94475011008526
JT11398,Day 5,1.6,swept,7,0.81057290233179
JU1242,Day 1,35,swept,3,1.18511602049647
JU1242,Day 2,85.75,swept,4,1.19843057313317
JU1242,Day 3,60.25,swept,5,1.03969940625317
JU1242,Day 4,14,swept,6,0.878833259760624
JU1242,Day 5,11.25,swept,7,0.761298432173541
JU1896,Day 1,55.6,swept,3,1.33939440041885
JU1896,Day 2,141.4,swept,4,1.3208009321845
JU1896,Day 3,21,swept,5,1.07689901255782
JU1896,Day 4,0.4,swept,6,0.897721373978458
JU1896,Day 5,0.2,swept,7,0.769606225106063
JU311,Day 1,54,swept,3,1.32966134885476
JU311,Day 2,171.4,swept,4,1.35446915040142
JU311,Day 3,61,swept,5,1.1314778870173
JU311,Day 4,6.4,swept,6,0.946581630347859
JU311,Day 5,1.4,swept,7,0.812037115452477
JU393,Day 1,39.2,swept,3,1.22289224893214
JU393,Day 2,53.8,swept,4,1.13314987328831
JU393,Day 3,59,swept,5,1.00477610416926
JU393,Day 4,42.4,swept,6,0.878319648671056
JU393,Day 5,28.6,swept,7,0.772453110208588
JU397,Day 1,48.2,swept,3,1.29178634035218
JU397,Day 2,153.6,swept,4,1.32681927697988
JU397,Day 3,68,swept,5,1.11953618875473
JU397,Day 4,2.6,swept,6,0.934545262379226
JU397,Day 5,3.8,swept,7,0.803017891567885
PX179,Day 1,57.2,swept,3,1.34885129946192
PX179,Day 2,139.4,swept,4,1.32029280192827
PX179,Day 3,63.8,swept,5,1.11244378206688
PX179,Day 4,8.4,swept,6,0.932327934774832
PX179,Day 5,4.4,swept,7,0.801457732528091
WN2002,Day 1,0.6,swept,3,0
WN2002,Day 2,88,swept,4,1.12103296440276
WN2002,Day 3,35,swept,5,0.963410109004718
WN2002,Day 4,22,swept,6,0.830143855960431
WN2002,Day 5,3.6,swept,7,0.715041098252809
BRC20067,Day 1,54.4,swept,3,1.33212138462063
BRC20067,Day 2,138.8,swept,4,1.3159314804446
BRC20067,Day 3,93.2,swept,5,1.1314778870173
BRC20067,Day 4,12.6,swept,6,0.950073928898448
BRC20067,Day 5,0.4,swept,7,0.814540067426504
JU1395,Day 1,43.4,swept,3,1.25681981370212
JU1395,Day 2,143.8,swept,4,1.30804439101087
JU1395,Day 3,85,swept,5,1.12130741804347
JU1395,Day 4,12.8,swept,6,0.942081530044775
JU1395,Day 5,2.4,swept,7,0.808696424806418
JU1581,Day 1,40.25,swept,3,1.23170333462152
JU1581,Day 2,113,swept,4,1.25801764370408
JU1581,Day 3,82.75,swept,5,1.09276636100512
JU1581,Day 4,10.75,swept,6,0.918062613052265
JU1581,Day 5,4,swept,7,0.789208060977435
JU2007,Day 1,57.4,swept,3,1.35001476777517
JU2007,Day 2,148,swept,4,1.33123982437361
JU2007,Day 3,89,swept,5,1.13698787737094
JU2007,Day 4,7.2,swept,6,0.951516939355634
JU2007,Day 5,1.2,swept,7,0.816153217366185
JU346,Day 1,45.6,swept,3,1.27330257217345
JU346,Day 2,153.4,swept,4,1.32332620618112
JU346,Day 3,87.8,swept,5,1.13175702174509
JU346,Day 4,10.8,swept,6,0.949291717159823
JU346,Day 5,1.4,swept,7,0.814349081912955
JU360,Day 1,43,swept,3,1.25373337189785
JU360,Day 2,128.8,swept,4,1.28658275238754
JU360,Day 3,73.8,swept,5,1.1007408392546
JU360,Day 4,2.2,swept,6,0.918770328199174
JU360,Day 5,0.4,swept,7,0.787747838967215
JU642,Day 1,39.75,swept,3,1.22753661370011
JU642,Day 2,130,swept,4,1.2835816916097
JU642,Day 3,51,swept,5,1.07940616789681
JU642,Day 4,1.5,swept,6,0.900633812399002
JU642,Day 5,0.5,swept,7,0.77229286662156
