strain,day,mean_b,genotype
BRC20067,Day 1,54.4,swept
BRC20067,Day 2,138.8,swept
BRC20067,Day 3,93.2,swept
BRC20067,Day 4,12.6,swept
BRC20067,Day 5,0.4,swept
CB4854,Day 1,31,swept
CB4854,Day 2,133.6,swept
CB4854,Day 3,78.4,swept
CB4854,Day 4,6.4,swept
CB4854,Day 5,2,swept
CB4856,Day 1,41,unswept
CB4856,Day 2,120.8,unswept
CB4856,Day 3,61,unswept
CB4856,Day 4,7,unswept
CB4856,Day 5,7.2,unswept
CX11254,Day 1,9.8,swept
CX11254,Day 2,45.6,swept
CX11254,Day 3,28.8,swept
CX11254,Day 4,14.4,swept
CX11254,Day 5,7.4,swept
CX11262,Day 1,54.2,swept
CX11262,Day 2,129.8,swept
CX11262,Day 3,73.6,swept
CX11262,Day 4,19.6,swept
CX11262,Day 5,5.2,swept
CX11264,Day 1,22,swept
CX11264,Day 2,88,swept
CX11264,Day 3,55.25,swept
CX11264,Day 4,26.25,swept
CX11264,Day 5,17.5,swept
CX11292,Day 1,14.8,swept
CX11292,Day 2,111.8,swept
CX11292,Day 3,89.8,swept
CX11292,Day 4,22.4,swept
CX11292,Day 5,0.8,swept
DL226,Day 1,53.6,swept
DL226,Day 2,136.2,swept
DL226,Day 3,76.2,swept
DL226,Day 4,11.6,swept
DL226,Day 5,1.8,swept
DL238,Day 1,32,unswept
DL238,Day 2,122,unswept
DL238,Day 3,56,unswept
DL238,Day 4,13.6666666666667,unswept
DL238,Day 5,25,unswept
ECA189,Day 1,35,unswept
ECA189,Day 2,125.25,unswept
ECA189,Day 3,62.5,unswept
ECA189,Day 4,10.75,unswept
ECA189,Day 5,2.75,unswept
ECA347,Day 1,44,unswept
ECA347,Day 2,115,unswept
ECA347,Day 3,78,unswept
ECA347,Day 4,19.25,unswept
ECA347,Day 5,3.5,unswept
ECA348,Day 1,46,swept
ECA348,Day 2,130.2,swept
ECA348,Day 3,49,swept
ECA348,Day 4,9,swept
ECA348,Day 5,1.6,swept
ECA36,Day 1,42.4,unswept
ECA36,Day 2,108.8,unswept
ECA36,Day 3,33.8,unswept
ECA36,Day 4,5.8,unswept
ECA36,Day 5,1.6,unswept
ECA363,Day 1,39.4,unswept
ECA363,Day 2,66.8,unswept
ECA363,Day 3,47.6,unswept
ECA363,Day 4,30,unswept
ECA363,Day 5,12,unswept
ECA369,Day 1,37.25,unswept
ECA369,Day 2,75.5,unswept
ECA369,Day 3,53,unswept
ECA369,Day 4,32,unswept
ECA369,Day 5,12.25,unswept
ECA372,Day 1,28.4,unswept
ECA372,Day 2,127.2,unswept
ECA372,Day 3,80.8,unswept
ECA372,Day 4,8.6,unswept
ECA372,Day 5,1.2,unswept
ECA396,Day 1,0.6,unswept
ECA396,Day 2,45,unswept
ECA396,Day 3,67.8,unswept
ECA396,Day 4,33.6,unswept
ECA396,Day 5,11.8,unswept
