strain,mean_b,swept_region,chr_geno
JT11398,291.2,IV,swept
JT11398,291.2,V,swept
JT11398,291.2,X,swept
JU1088,264.5,I,unswept
JU1088,264.5,IV,swept
JU1088,264.5,V,swept
JU1088,264.5,X,swept
JU1172,267.2,I,swept
JU1172,267.2,IV,swept
JU1172,267.2,V,swept
JU1172,267.2,X,swept
JU1200,254.4,I,swept
JU1200,254.4,IV,swept
JU1200,254.4,V,swept
JU1200,254.4,X,swept
JU1242,206.25,I,swept
JU1242,206.25,IV,swept
JU1242,206.25,V,swept
JU1242,206.25,X,unswept
JU1395,287.4,I,swept
JU1395,287.4,IV,swept
JU1395,287.4,V,swept
JU1395,287.4,X,swept
JU1491,335.4,I,swept
JU1491,335.4,IV,unswept
JU1491,335.4,V,swept
JU1491,335.4,X,swept
JU1530,307.6,I,swept
JU1530,307.6,IV,swept
JU1530,307.6,V,swept
JU1530,307.6,X,unswept
JU1568,256.8,I,swept
JU1568,256.8,IV,swept
JU1568,256.8,V,swept
JU1568,256.8,X,swept
JU1581,250.75,I,unswept
JU1581,250.75,IV,unswept
JU1581,250.75,V,swept
JU1581,250.75,X,unswept
JU1586,218.6,I,swept
JU1586,218.6,IV,swept
JU1586,218.6,V,swept
JU1586,218.6,X,swept
JU1896,218.6,I,unswept
JU1896,218.6,IV,unswept
JU1896,218.6,V,swept
JU1896,218.6,X,swept
JU2007,302.8,I,swept
JU2007,302.8,IV,swept
JU2007,302.8,V,swept
JU2007,302.8,X,swept
JU2464,215.6,I,swept
JU2464,215.6,IV,swept
JU2464,215.6,V,swept
JU2464,215.6,X,swept
JU2879,134.6,I,unswept
JU2879,134.6,IV,swept
JU2879,134.6,V,swept
JU2879,134.6,X,unswept
JU310,283.2,I,swept
JU310,283.2,IV,swept
JU310,283.2,V,swept
JU310,283.2,X,unswept
JU311,294.2,I,swept
JU311,294.2,IV,unswept
JU311,294.2,V,swept
JU311,294.2,X,unswept
JU3226,190.5,I,unswept
JU3226,190.5,IV,unswept
JU3226,190.5,V,unswept
JU3226,190.5,X,unswept
JU323,288,I,swept
JU323,288,IV,swept
JU323,288,V,swept
JU323,288,X,unswept
JU346,299,I,unswept
JU346,299,IV,swept
JU346,299,V,swept
JU346,299,X,unswept
JU360,248.2,I,swept
JU360,248.2,IV,swept
JU360,248.2,V,swept
JU360,248.2,X,swept
JU367,178.8,I,swept
JU367,178.8,IV,swept
JU367,178.8,V,swept
JU367,178.8,X,unswept
JU393,223,I,swept
JU393,223,IV,unswept
JU393,223,V,swept
JU393,223,X,unswept
JU394,286.8,I,swept
JU394,286.8,IV,unswept
JU394,286.8,V,swept
JU394,286.8,X,unswept
JU397,276.2,I,swept
JU397,276.2,IV,unswept
JU397,276.2,V,swept
JU397,276.2,X,unswept
JU406,220.4,I,swept
JU406,220.4,IV,unswept
JU406,220.4,V,swept
JU406,220.4,X,unswept
JU440,283.4,I,swept
JU440,283.4,IV,swept
JU440,283.4,V,swept
JU440,283.4,X,swept
JU561,233.6,I,swept
JU561,233.6,IV,swept
JU561,233.6,V,swept
JU561,233.6,X,swept
JU642,222.75,I,unswept
JU642,222.75,IV,swept
JU642,222.75,V,swept
JU642,222.75,X,swept
JU751,144.75,I,unswept
JU751,144.75,IV,unswept
JU751,144.75,V,swept
JU751,144.75,X,swept
JU775,235,I,swept
JU775,235,IV,unswept
JU775,235,V,unswept
JU775,235,X,unswept
JU830,204,I,unswept
JU830,204,IV,swept
JU830,204,V,swept
JU830,204,X,swept
JU847,199.75,I,swept
JU847,199.75,IV,unswept
JU847,199.75,V,swept
JU847,199.75,X,unswept
KR314,307.75,I,swept
KR314,307.75,IV,swept
KR314,307.75,V,swept
KR314,307.75,X,swept
MY1,293.8,I,unswept
MY1,293.8,IV,swept
MY1,293.8,V,swept
MY1,293.8,X,swept
MY16,287.2,I,unswept
MY16,287.2,IV,unswept
MY16,287.2,V,unswept
MY16,287.2,X,unswept
MY18,278.6,I,unswept
MY18,278.6,IV,swept
MY18,278.6,V,swept
MY18,278.6,X,unswept
MY23,264.25,I,unswept
MY23,264.25,IV,unswept
MY23,264.25,V,unswept
MY23,264.25,X,unswept
N2,307.75,I,swept
N2,307.75,IV,swept
N2,307.75,V,swept
N2,307.75,X,swept
NIC166,247.2,I,unswept
NIC166,247.2,IV,swept
NIC166,247.2,V,swept
NIC166,247.2,X,unswept
NIC274,247.6,I,swept
NIC274,247.6,IV,swept
NIC274,247.6,V,swept
NIC274,247.6,X,unswept
NIC276,208.6,I,swept
NIC276,208.6,IV,swept
NIC276,208.6,V,swept
NIC276,208.6,X,unswept
NIC277,252.8,I,swept
NIC277,252.8,IV,swept
NIC277,252.8,V,swept
NIC277,252.8,X,unswept
PS2025,239.8,I,swept
PS2025,239.8,IV,swept
PS2025,239.8,V,unswept
PS2025,239.8,X,unswept
PX179,273.2,I,unswept
PX179,273.2,IV,swept
PX179,273.2,V,swept
PX179,273.2,X,swept
QG536,273.5,I,swept
QG536,273.5,IV,swept
QG536,273.5,V,swept
QG536,273.5,X,swept
QG556,229,I,unswept
QG556,229,IV,swept
QG556,229,V,unswept
QG556,229,X,unswept
QX1212,289,I,swept
QX1212,289,IV,swept
QX1212,289,V,swept
QX1212,289,X,swept
QX1233,242.75,I,swept
QX1233,242.75,IV,swept
QX1233,242.75,V,swept
QX1233,242.75,X,swept
QX1791,235.2,I,unswept
QX1791,235.2,IV,unswept
QX1791,235.2,V,unswept
QX1791,235.2,X,unswept
QX1792,196.4,I,unswept
QX1792,196.4,IV,unswept
QX1792,196.4,V,swept
QX1792,196.4,X,unswept
QX1793,216.6,I,unswept
QX1793,216.6,IV,unswept
QX1793,216.6,V,unswept
QX1793,216.6,X,unswept
QX1794,214.333333333333,I,unswept
QX1794,214.333333333333,IV,unswept
QX1794,214.333333333333,V,unswept
QX1794,214.333333333333,X,unswept
RC301,173.6,I,swept
RC301,173.6,IV,swept
RC301,173.6,V,swept
RC301,173.6,X,swept
WN2002,149.2,I,unswept
WN2002,149.2,IV,swept
WN2002,149.2,V,swept
WN2002,149.2,X,swept
XZ1513,131,I,unswept
XZ1513,131,IV,unswept
XZ1513,131,V,unswept
XZ1513,131,X,unswept
XZ1514,210,I,unswept
XZ1514,210,IV,unswept
XZ1514,210,V,unswept
XZ1514,210,X,unswept
XZ1515,135.4,I,swept
XZ1515,135.4,IV,unswept
XZ1515,135.4,V,swept
XZ1515,135.4,X,unswept
XZ1516,254.4,I,unswept
XZ1516,254.4,IV,unswept
XZ1516,254.4,V,unswept
XZ1516,254.4,X,unswept
XZ2019,237.2,I,unswept
XZ2019,237.2,IV,unswept
XZ2019,237.2,V,unswept
XZ2019,237.2,X,unswept
