strain,mean_b,swept_region,chr_geno
BRC20067,299.4,I,unswept
BRC20067,299.4,IV,swept
BRC20067,299.4,V,swept
BRC20067,299.4,X,swept
CB4854,251.4,I,swept
CB4854,251.4,IV,swept
CB4854,251.4,V,swept
CB4854,251.4,X,swept
CB4856,237,I,unswept
CB4856,237,IV,unswept
CB4856,237,V,unswept
CB4856,237,X,unswept
CX11254,106,I,unswept
CX11254,106,IV,swept
CX11254,106,V,swept
CX11254,106,X,unswept
CX11262,282.4,I,unswept
CX11262,282.4,IV,swept
CX11262,282.4,V,swept
CX11262,282.4,X,swept
CX11264,209,I,swept
CX11264,209,IV,swept
CX11264,209,V,swept
CX11264,209,X,unswept
CX11292,239.6,I,swept
CX11292,239.6,IV,swept
CX11292,239.6,V,swept
CX11292,239.6,X,swept
DL226,279.4,I,swept
DL226,279.4,IV,swept
DL226,279.4,V,swept
DL226,279.4,X,swept
DL238,248.666666666667,I,unswept
DL238,248.666666666667,IV,unswept
DL238,248.666666666667,V,unswept
DL238,248.666666666667,X,unswept
ECA189,236.25,I,unswept
ECA189,236.25,IV,unswept
ECA189,236.25,V,unswept
ECA189,236.25,X,unswept
ECA347,259.75,I,unswept
ECA347,259.75,IV,unswept
ECA347,259.75,V,unswept
ECA347,259.75,X,unswept
ECA348,235.8,I,swept
ECA348,235.8,IV,swept
ECA348,235.8,V,unswept
ECA348,235.8,X,unswept
ECA36,192.4,I,unswept
ECA36,192.4,IV,unswept
ECA36,192.4,V,unswept
ECA36,192.4,X,unswept
ECA363,195.8,I,unswept
ECA363,195.8,IV,unswept
ECA363,195.8,V,unswept
ECA363,195.8,X,unswept
ECA369,210,I,unswept
ECA369,210,IV,unswept
ECA369,210,V,unswept
ECA369,210,X,unswept
ECA372,246.2,I,unswept
ECA372,246.2,IV,unswept
ECA372,246.2,V,unswept
ECA372,246.2,X,unswept
ECA396,158.8,I,unswept
ECA396,158.8,IV,unswept
ECA396,158.8,V,unswept
ECA396,158.8,X,unswept
ECA592,214.25,I,unswept
ECA592,214.25,IV,unswept
ECA592,214.25,V,swept
ECA592,214.25,X,unswept
ECA593,212.6,I,unswept
ECA593,212.6,IV,unswept
ECA593,212.6,V,unswept
ECA593,212.6,X,unswept
ECA594,229.8,I,unswept
ECA594,229.8,IV,unswept
ECA594,229.8,V,unswept
ECA594,229.8,X,swept
ECA703,149.25,I,unswept
ECA703,149.25,IV,unswept
ECA703,149.25,V,unswept
ECA703,149.25,X,unswept
ECA705,194,I,unswept
ECA705,194,IV,unswept
ECA705,194,V,unswept
ECA705,194,X,unswept
ECA706,235,I,unswept
ECA706,235,IV,unswept
ECA706,235,V,unswept
ECA706,235,X,unswept
ECA710,121,I,unswept
ECA710,121,IV,unswept
ECA710,121,V,unswept
ECA710,121,X,unswept
ECA712,281.75,I,unswept
ECA712,281.75,IV,unswept
ECA712,281.75,V,unswept
ECA712,281.75,X,unswept
ECA722,133.5,I,unswept
ECA722,133.5,IV,unswept
ECA722,133.5,V,unswept
ECA722,133.5,X,unswept
ECA723,226.6,I,unswept
ECA723,226.6,IV,unswept
ECA723,226.6,V,unswept
ECA723,226.6,X,unswept
ECA724,220.6,I,unswept
ECA724,220.6,IV,unswept
ECA724,220.6,V,unswept
ECA724,220.6,X,unswept
ECA730,240.8,I,unswept
ECA730,240.8,IV,unswept
ECA730,240.8,V,unswept
ECA730,240.8,X,unswept
ECA732,239.2,I,unswept
ECA732,239.2,IV,unswept
ECA732,239.2,V,unswept
ECA732,239.2,X,unswept
ECA733,241.25,I,unswept
ECA733,241.25,IV,unswept
ECA733,241.25,V,unswept
ECA733,241.25,X,unswept
ECA738,237.333333333333,I,unswept
ECA738,237.333333333333,IV,unswept
ECA738,237.333333333333,V,unswept
ECA738,237.333333333333,X,unswept
ECA740,184.2,I,unswept
ECA740,184.2,IV,unswept
ECA740,184.2,V,unswept
ECA740,184.2,X,unswept
ECA741,253,I,unswept
ECA741,253,IV,unswept
ECA741,253,V,unswept
ECA741,253,X,unswept
ECA742,195,I,unswept
ECA742,195,IV,unswept
ECA742,195,V,unswept
ECA742,195,X,unswept
ECA743,262.4,I,unswept
ECA743,262.4,IV,unswept
ECA743,262.4,V,unswept
ECA743,262.4,X,unswept
ECA744,248.6,I,unswept
ECA744,248.6,IV,unswept
ECA744,248.6,V,unswept
ECA744,248.6,X,unswept
ECA745,194.2,I,unswept
ECA745,194.2,IV,unswept
ECA745,194.2,V,unswept
ECA745,194.2,X,unswept
ECA746,201.4,I,unswept
ECA746,201.4,IV,unswept
ECA746,201.4,V,unswept
ECA746,201.4,X,unswept
ECA760,177.8,I,unswept
ECA760,177.8,IV,unswept
ECA760,177.8,V,unswept
ECA760,177.8,X,unswept
ECA768,217.25,I,unswept
ECA768,217.25,IV,unswept
ECA768,217.25,V,unswept
ECA768,217.25,X,unswept
ECA778,169,I,unswept
ECA778,169,IV,unswept
ECA778,169,V,unswept
ECA778,169,X,unswept
ECA807,181.8,I,unswept
ECA807,181.8,IV,unswept
ECA807,181.8,V,unswept
ECA807,181.8,X,unswept
ECA812,230,I,unswept
ECA812,230,IV,unswept
ECA812,230,V,unswept
ECA812,230,X,unswept
ECA923,227,I,unswept
ECA923,227,IV,swept
ECA923,227,V,swept
ECA923,227,X,unswept
ECA928,218.5,I,unswept
ECA928,218.5,IV,swept
ECA928,218.5,V,unswept
ECA928,218.5,X,unswept
ED3005,269.8,I,swept
ED3005,269.8,IV,swept
ED3005,269.8,V,swept
ED3005,269.8,X,swept
ED3011,294.5,I,swept
ED3011,294.5,IV,swept
ED3011,294.5,V,swept
ED3011,294.5,X,swept
ED3012,248.2,I,swept
ED3012,248.2,IV,swept
ED3012,248.2,V,swept
ED3012,248.2,X,swept
ED3040,291.6,I,unswept
ED3040,291.6,IV,swept
ED3040,291.6,V,swept
ED3040,291.6,X,swept
EG4349,288.8,I,swept
EG4349,288.8,IV,unswept
EG4349,288.8,V,swept
EG4349,288.8,X,swept
EG4946,268.25,I,swept
EG4946,268.25,IV,swept
EG4946,268.25,V,swept
EG4946,268.25,X,swept
GXW1,247,I,unswept
GXW1,247,IV,swept
GXW1,247,V,swept
GXW1,247,X,swept
JT11398,291.2,I,swept
