strain,day,mean_b,genotype
BRC20067,Day 1,54.4,swept
BRC20067,Day 2,138.8,swept
BRC20067,Day 3,93.2,swept
BRC20067,Day 4,12.6,swept
BRC20067,Day 5,0.4,swept
CB4854,Day 1,31,swept
CB4854,Day 2,133.6,swept
CB4854,Day 3,78.4,swept
CB4854,Day 4,6.4,swept
CB4854,Day 5,2,swept
CB4856,Day 1,41,divergent
CB4856,Day 2,120.8,divergent
CB4856,Day 3,61,divergent
CB4856,Day 4,7,divergent
CB4856,Day 5,7.2,divergent
CX11254,Day 1,9.8,swept
CX11254,Day 2,45.6,swept
CX11254,Day 3,28.8,swept
CX11254,Day 4,14.4,swept
CX11254,Day 5,7.4,swept
CX11262,Day 1,54.2,swept
CX11262,Day 2,129.8,swept
CX11262,Day 3,73.6,swept
CX11262,Day 4,19.6,swept
CX11262,Day 5,5.2,swept
CX11264,Day 1,22,swept
CX11264,Day 2,88,swept
CX11264,Day 3,55.25,swept
CX11264,Day 4,26.25,swept
CX11264,Day 5,17.5,swept
CX11292,Day 1,14.8,swept
CX11292,Day 2,111.8,swept
CX11292,Day 3,89.8,swept
CX11292,Day 4,22.4,swept
CX11292,Day 5,0.8,swept
DL226,Day 1,53.6,swept
DL226,Day 2,136.2,swept
DL226,Day 3,76.2,swept
DL226,Day 4,11.6,swept
DL226,Day 5,1.8,swept
DL238,Day 1,32,divergent
DL238,Day 2,122,divergent
DL238,Day 3,56,divergent
DL238,Day 4,13.6666666666667,divergent
DL238,Day 5,25,divergent
ECA1202,Day 1,21.6,divergent
ECA1202,Day 2,56.2,divergent
ECA1202,Day 3,52,divergent
ECA1202,Day 4,30.8,divergent
ECA1202,Day 5,30.4,divergent
ECA1206,Day 1,25.2,divergent
ECA1206,Day 2,81.8,divergent
ECA1206,Day 3,77.2,divergent
ECA1206,Day 4,25.4,divergent
ECA1206,Day 5,3.6,divergent
ECA1211,Day 1,23.2,divergent
ECA1211,Day 2,66,divergent
ECA1211,Day 3,60.8,divergent
ECA1211,Day 4,29.8,divergent
ECA1211,Day 5,17.6,divergent
ECA1228,Day 1,10.4,divergent
ECA1228,Day 2,42,divergent
ECA1228,Day 3,36.8,divergent
ECA1228,Day 4,28.6,divergent
ECA1228,Day 5,41.4,divergent
ECA1269,Day 1,17.6,divergent
ECA1269,Day 2,69.4,divergent
ECA1269,Day 3,61.6,divergent
ECA1269,Day 4,19.4,divergent
ECA1269,Day 5,16.4,divergent
ECA1281,Day 1,20.4,divergent
ECA1281,Day 2,72.8,divergent
ECA1281,Day 3,73.8,divergent
ECA1281,Day 4,26,divergent
ECA1281,Day 5,10.4,divergent
ECA1287,Day 1,10.6,divergent
ECA1287,Day 2,56.6,divergent
ECA1287,Day 3,65.2,divergent
ECA1287,Day 4,43.8,divergent
ECA1287,Day 5,19.6,divergent
ECA189,Day 1,35,divergent
ECA189,Day 2,125.25,divergent
